"movie_odid","display_name","rating","reason"
"31230100","Josie and the Pussycats","PG-13","for language and mild sensuality"
"31250100","Freddy Got Fingered","R","for crude sexual and bizarre humor, and for strong language"
"31280100","Supernova","PG-13","for sci-fi action violence and sensuality/nudity"
"31290100","Alex & Emma","PG-13","for sexual content and some language"
"31340100","Disaster Movie","PG-13","for crude and sexual content throughout, language, drug references and comic violence"
"31360100","Prince of Darkness","R",""
"31400100","Dirty Dancing Havana Nights","PG-13","for sensuality"
"31430100","How to Deal","PG-13","for sexual content, drug material, language and some thematic elements"
"31460100","Blues Brothers 2000","PG-13","for exotic dancing and some language"
"31470100","The Informant!","R","for language"
"31490100","The Emperor's Club","PG-13","for some sexual content"
"31500100","Fairytale: A True Story","PG","for brief mild language"
"31540100","In Too Deep","R","for brutal violence, strong sexuality, language and drug content."
"31550100","New York Minute","PG","for mild sensuality and thematic elements"
"31560100","The Good Girl","R","for sexuality, some language and drug content"
"31570100","Virus","R","for sci-fi violence/gore, and for language"
"31580100","Def Jam's How To Be a Player","R","for strong sexual content and language"
"31660100","Un homme et une femme","Not Rated","unrated"
"31700100","Imitation of Life","Not Rated",""
"31730100","Stealing Harvard","PG-13","NULL"
"31760100","Hot Rod","PG-13","for crude humor, language, some comic drug-related and violent content."
"31770100","Firehouse Dog","PG","for sequences of action peril, some mild crude humor and language."
"31780100","Soul Plane","R","for strong sexual content, language and some drug use"
"31800100","Out Cold","PG-13","for language, crude and sexual humor, and substance abuse"
"31810100","Les Miserables","PG-13","for violence, and for some sexual content"
"31820100","Monsoon Wedding","R","for language, including some sex related dialogue."
"31840100","The Duchess","PG-13","for sexual content, brief nudity and thematic material."
"31880100","The Man Who Knew Too Little","PG","for language, innuendo, comic violence and sensuality"
"31930100","Letters from Iwo Jima","R","for graphic war violence."
"31960100","Drop Dead Fred","PG-13",""
"31970100","Broken Flowers","R","for language, some graphic nudity and brief drug use."
"31990100","The Wings of the Dove","R","for sexuality"
"32030100","Hey Arnold! The Movie","PG","for some thematic elements"
"32050100","Desperate Measures","R","for violence and language"
"32080100","Haunted Castle","PG","for some frightening sensations and horror images"
"32090100","Y Tu Mamá También","R","for strong sexual content involving teens, drug use and language"
"32100100","Crank 2: High Voltage","R","for frenetic strong bloody violence throughout, crude and graphic sexual content, nudity and pervasive language"
"32110100","The Namesake","PG-13","for sexuality/nudity, a scene of drug use, some disturbing images and brief language."
"32130100","Trial And Error","PG-13","for some sexual content"
"32140100","Osmosis Jones","PG","for bodily humor (previously rated PG-13)"
"32150100","The Ladies Man","R","for sexual content and language."
"32160100","Hush","PG-13","for some violence, sensuality and brief strong language."
"32170100","Juwanna Mann","PG-13","for language and sex-related material"
"32180100","Tomcats","R","for strong sexual content including dialogue, and for language"
"32190100","The Little Vampire","PG","for some mild peril"
"32200100","Envy","PG-13","for language and sexual/crude humor"
"32210100","Shaun of the Dead","R","for zombie violence/gore and language"
"32220100","The Deep End of the Ocean","PG-13","for language and thematic elements"
"32250100","The Tailor of Panama","R","for strong sexuality, language and some violence"
"32270100","Charade","Not Rated",""
"32280100","The Haunting of Molly Hartley","PG-13","for strong thematic material, violence and terror, brief strong language and some teen drinking"
"32310100","Secrets & Lies","R","for language"
"32340100","One Night with the King","PG","for violence, some sensuality and thematic elements"
"32350100","Alfie","R","for sexual content, some language and drug use"
"32380100","Friends with Money","R","for language, some sexual content and brief drug use."
"32400100","The Comebacks","PG-13","for some thematic elements, mild language and brief rude humor."
"32410100","De-Lovely","PG-13","for sexual content"
"32470100","Sugar and Spice","PG-13","for language, sex-related humor and some thematic elements"
"32490100","North by Northwest","Not Rated",""
"32510100","The Mod Squad","R","for language, violence and some sexuality"
"32520100","Ghost Town","PG-13","for some strong language, sexual humor and drug references."
"32540100","Daddy Day Camp","PG","for mild bodily humor and language."
"32570100","FearDotCom","R","for violence including grizzly images of torture, nudity and language"
"32650100","Jason X","R","NULL"
"32680100","Frailty","R","for violence and some language"
"32690100","Senseless","R","for language and sexual content"
"32700100","Rosewood","R","for violence and some sexuality"
"32730100","Flyboys","PG-13","for war action violence and some sexual content."
"32760100","Dr. T and the Women","R","for graphic nudity and some sexuality"
"32770100","Ghosts of Mississippi","PG-13","for a strong scene of violence and for racial dialogue"
"32780100","How to Eat Fried Worms","PG","for mild bullying and some crude humor"
"32790100","Angela's Ashes","R","for sexual content and some language.\nAppeal Upheld"
"32830100","The Crew","PG-13","for sexual content, violence and language"
"32840100","Religulous","R","for some language and sexual material"
"32850100","House of Sand and Fog","R","for some violence/disturbing images, language ans a scene of sexuality"
"32910100","The Snows of Kilimanjaro","Not Rated","Approved"
"32920100","In Cold Blood","R",""
"32990100","They Live","R",""
"33020100","The Quiet American","R","for images of violence and some language"
"33030100","The Pirates Who Don't Do Anything: A VeggieTales Movie","G","NULL"
"33050100","Lone Star","R","for brief language, sex and violence"
"33110100","Living Out Loud","R","for language, and for some sexuality and drug content"
"33130100","Volver","R","for some sexual content and language"
"33150100","Gods and Generals","PG-13","for sustained battle sequences"
"33160100","Black Dog","PG-13","for intense scenes of action violence, and for language"
"33180100","They","PG-13","for terror/violence, sexual content and language"
"33200100","The Honeymooners","PG-13","for some innuendo and rude humor. "
"33210100","Wicker Park","PG-13","for sexuality and language"
"33230100","Marvin's Room","PG-13","for thematic elements and brief language"
"33240100","Highlander: Endgame","R","for violence and some strong sexuality"
"33260100","Meet Me in St. Louis","Not Rated",""
"33270100","Shoot 'Em Up","R","for pervasive strong bloody violence, sexuality and some language."
"33280100","Rachel Getting Married","R","for language and brief sexuality."
"33300100","I Heart Huckabees","R","for language and a sex scene"
"33310100","The Associate","PG-13","for sensuality and an exotic dance club scene"
"33320100","The Evening Star","PG-13","on appeal for some sexual situations and brief strong language (previously rated R)"
"33350100","Mr. Nice Guy","PG-13","for pervasive action violence, some sensuality and drug content"
"33360100","The New World","PG-13","for some intense battle sequences."
"33410100","Bon Cop, Bad Cop","Not Rated","NULL"
"33420100","Idlewild","R","for violence, sexuality, nudity and language."
"33450100","House of 1,000 Corpses","R","for strong sadistic violence/gore, sexuality and language"
"33470100","The Omega Code","PG-13","for several scenes of shooting"
"33520100","La misma luna","PG-13","for some mature thematic elements"
"33540100","The Matador","R","for strong sexual content and language"
"33550100","I Think I Love My Wife","R","for pervasive language and some sexual content"
"33560100","Love Jones","R","for language and sexuality"
"33570100","Gattaca","PG-13","for brief violent images, language and some sexuality"
"33590100","Freedomland","R","for language and some violent content"
"33610100","Why Do Fools Fall In Love?","R","for language and some sexuality"
"33650100","War and Peace","PG","for violence. "
"33660100","The Weather Man","R","for strong language and sexual content."
"33670100","Extreme","Not Rated","NULL"
"33690100","The Hurt Locker","R","For war violence and language"
"33730100","Evening","PG-13","for some thematic elements, sexual material, a brief accident scene and language."
"33750100","Undisputed","R","for strong language."
"33780100","Ready to Rumble","PG-13","for language, crude humor, sexual content including brief nudity, and wrestling violence"
"33810100","Miss Pettigrew Lives for a Day","PG-13","for some partial nudity and innuendo"
"33860100","A Hard Day's Night","G",""
"33880100","True Romance","R",""
"33920100","Breakin' All the Rules","PG-13","for sexual material/humor and language"
"33930100","I'll Be Home For Christmas","PG","for mild language and some rude humor"
"33940100","Confidence","R","for language, violence and sexuality/nudity"
"33990100","Chasing Liberty","PG-13","NULL"
"34000100","Saving Grace","R","for drug content and language"
"34060100","Soul Men","R","for pervasive language, and sexual content including nudity"
"34090100","Holy Man","PG","for some language."
"34120100","The King and I","G","NULL"
"34130100","Sunshine Cleaning","R","for language, disturbing images, some sexuality and drug use"
"34150100","Tom yum goong","R","for pervasive strong violence and some sexual content"
"34170100","In Dreams","R","for violence/terror and language"
"34180100","The Gift","R","for violence, language, and sexuality/nudity"
"34190100","Chasing Amy","R","for strong graphic sex-related dialogue, language, sexuality and drug content"
"34230100","Sorcerer","PG",""
"34270100","The Tall Men","Not Rated","Approved"
"34290100","Night of the Living Dead","Not Rated","NULL"
"34340100","Gentlemen Prefer Blondes","Not Rated",""
"34400100","Frankenstein","Not Rated",""
"34420100","Big Night","R","for language"
"34430100","Zoom","PG","for brief rude humor, language and mild action"
"34440100","Nuovo cinema Paradiso","R","for some sexuality."
"34460100","Sliding Doors","PG-13","for language and some sexuality (previously rated R)"
"34470100","The Darjeeling Limited","R","for language"
"34490100","Sydney White","PG-13","for some language, sexual humor and partying."
"34520100","The Thirteenth Floor","R","for violence and language"
"34550100","Meet Dave","PG","for bawdy and suggestive humor, action and some language."
"34620100","End of the Spear","PG-13","for intense sequences of violence"
"34640100","The Great Escape","Not Rated",""
"34650100","Strictly Ballroom","PG","for mild language and sensuality."
"34670100","Dave Chappelle's Block Party","R","for language."
"34700100","Knockaround Guys","R","for violence, language and some drug use"
"34740100","Girl with a Pearl Earring","PG-13","for some sexual content"
"34750100","The Muse","PG-13","for brief nudity"
"34760100","The Last Kiss","R","for sexuality, nudity and language."
"34820100","Wing Commander","PG-13","for sexual references and sci-fi action/violence"
"34840100","Get Over It","PG-13","for some crude/sexual humor, teen drinking and language (previously rated R)"
"34850100","The Legend of Drunken Master","R","for violent content"
"34870100","Boys Don't Cry","R","NULL"
"34880100","The Cookout","PG-13","for drug content, sexual references and language"
"34900100","Turbulence","R","for terror, strong violence and language"
"34910100","Super Size Me","PG-13","for language, sex and drug references, and a graphic medical procedure"
"34920100","The Longshots","PG","for some thematic elements, mild language and brief rude humor."
"34990100","Das Boot","R","for some war violence and brief language. (director's cut)"
"35000100","The Beautician and the Beast","PG","for some mild language and sensuality"
"35010100","Something New","PG-13","for sexual references"
"35020100","Material Girls","PG","for language and rude humor"
"35040100","The Powerpuff Girls","PG","for non-stop frenetic animated action"
"35050100","The Shipping News","R","for some language, sexuality and disturbing images"
"35060100","The Birds","PG-13","Rating is for 1984 Re-Issue"
"35150100","Double Team","R","for non-stop action violence"
"35200100","Leave It To Beaver","PG","for mild language and some elements of sensuality"
"35210100","Casanova","R","for some sexual content"
"35240100","Das Leben der Anderen","R","for some sexuality/nudity."
"35270100","The Lords of Dogtown","PG-13","for drug and alcohol content, sexuality, violence, language and reckless behavior - all involving teens"
"35290100","Chill Factor","R","for violence and language"
"35300100","Cyberworld 3D","Not Rated","NULL"
"35340100","Bobby","R","for language, drug content, and a scene of violence (to be appealed)"
"35350100","Deep Rising","R","for sci-fi violence and gore"
"35360100","Surviving Christmas","PG-13","for sexual content, language and a brief drug reference"
"35380100","Be Kind Rewind","PG-13","for some sexual references"
"35410100","Barney's Great Adventure","G","NULL"
"35480100","Michael Collins","R","for violence and language"
"35540100","In the Land of Women","PG-13","for sexual content, thematic elements and language"
"35560100","House of Flying Daggers","PG-13","for sequences of stylized martial arts violence, and some sexuality"
"35570100","Mrs. Henderson Presents","R","for sexual content, nudity, language and drug use"
"35590100","Doomsday","R","for strong bloody violence, language and some sexual content/nudity."
"35610100","The Astronaut Farmer","PG","for thematic material, peril and language"
"35760100","A Farewell To Arms","Not Rated","Approved"
"35780100","Solomon and Sheba","Not Rated",""
"35870100","Dragon Wars: D-War","PG-13","for intense sequences of violence and creature action."
"35900100","What the #$'! Do We Know","Not Rated","NULL"
"35910100","Le pacte des loups","R","for strong violence and gore, and sexuality/nudity"
"35920100","Cookie's Fortune","PG-13","for the depiction of a violent act, and for sensuality"
"35930100","Stop-Loss","R","for graphic violence and pervasive language."
"35990100","Office Space","R","for language and brief sexuality"
"36030100","Winged Migration","G",""
"36100100","Abandon","PG-13","for drug and alcohol content, sexuality, some violence and language"
"36170100","Deconstructing Harry","R","for strong language and some sexuality"
"36180100","Fear and Loathing in Las Vegas","R","for pervasive extreme drug use and related bizarre behavior, strong language, and brief nudity"
"36190100","The Astronaut's Wife","R","for violence, language and a strong scene of sexuality"
"36210100","The End of the Affair","R","for scenes of strong sexuality"
"36220100","Island of the Sharks","Not Rated","NULL"
"36320100","Primeval","R","for strong graphic violence, brutality, terror and language"
"36330100","Not Easily Broken","PG-13","for sexual references and thematic elements"
"36340100","Drop Dead Gorgeous","PG-13","for irreverent and crude humor, sex-related material and language."
"36350100","Three to Tango","PG-13","for sex-related situations and language"
"36360100","Mad City","PG-13","for depiction of a hostage situation, including violence and brief language"
"36400100","Scoop","PG-13","for some sexual content"
"36420100","Home Fries","PG-13","for thematic elements and some sexual humor"
"36440100","Here on Earth","PG-13","for some sensuality and thematic elements"
"36480100","Narc","R","for strong brutal violence, drug content and pervasive language."
"36490100","Casablanca","PG","for mild violence.\nRating is for 1992 Re-Issue"
"36500100","Operation Condor","PG-13","for martial arts action, some shootings, and for sensuality"
"36510100","Universal Soldier II: The Return","R","for nonstop strong violence, and for language and nudity"
"36530100","Blue Hawaii","PG","for mild sensuality. "
"36570100","Raise Your Voice","PG","for thematic elements and language"
"36580100","Roving Mars","G","NULL"
"36590100","Love Happens","PG-13","for some language including sexual references"
"36660100","Head Over Heels","PG-13","for sexual content, crude humor and language"
"36680100","The Perfect Score","PG-13","NULL"
"36690100","The Witches","PG",""
"36720100","The Newton Boys","PG-13","for violence including bloody aftermath of a shooting, and for language"
"36740100","Knock Off","R","for continuous violence and brief language"
"36750100","I Got the Hook-Up!","R","for pervasive strong language, crude sexual humor, nudity, drug content and some violence"
"36760100","La Môme","PG-13","for substance abuse, sexual content, brief nudity, language and thematic elements (extended edition)."
"36780100","Shopgirl","R","for some sexual content and brief language"
"36800100","Santa vs. The Snowman","Not Rated","NULL"
"36810100","Pathfinder","R","for strong brutal violence throughout."
"36830100","In the Mix","PG-13","for sexual content, violence and language."
"36860100","Kinsey","R","for pervasive sexual content, including some graphic images and descriptions"
"36870100","U2 3D","G","NULL"
"36890100","House of the Dead","R","for pervasive strong violence/gore, language and some nudity."
"36900100","Sorority Boys","R","for crude sexual content, nudity, strong language and some drug use"
"36920100","Facing the Giants","PG","for some thematic elements."
"36940100","Domino","R","for strong violence, pervasive language, sexual content/nudity and drug use"
"36950100","The Great Raid","R","for strong war violence and brief language. "
"36960100","The Spanish Prisoner","PG","for thematic elements including tension, some violent images and brief language"
"36970100","Henry V","PG-13","for a bloody battle. "
"36980100","Bats","R","for some graphic, bloody bat attacks"
"36990100","The Fountain","PG-13","for some intense sequences of violent action, some sensuality and language (on appeal - originally rated R)"
"37020100","Extract","R","for language, sexual references and some drug use."
"37040100","Swimming Pool","R","for strong sexual content, nudity, language, some violence and drug use"
"37060100","Brokedown Palace","PG-13","for brief strong language, drug related material and some violent content"
"37070100","Possession","PG-13","for sexuality and some thematic elements"
"37080100","The Wash","R","for pervasive language, drug use, some sexuality and violence."
"37120100","Pulse: A Stomp Odyssey","Not Rated","NULL"
"37150100","Buddy","PG","for some threatening animal action"
"37170100","Sen to Chihiro no Kamikakushi","PG","for some scary moments"
"37180100","Cry Wolf","PG-13","for violence, terror, disturbing images, language, sexuality and a brief drug reference."
"37200100","Godzilla 2000","PG","for monster violence and mild language"
"37220100","Next Day Air","R","for pervasive language, drug content, some violence and brief sexuality."
"37230100","Dirty Work","PG-13","for crude sexual humor and language"
"37240100","Le Violon rouge","R","for some sexuality"
"37270100","Lucky Numbers","R","for language, sexuality, some drug use and brief violence"
"37280100","Penelope","PG","for thematic elements, some innuendo and language"
"37290100","Bratz","PG","for thematic elements"
"37450100","Love Is a Many-Splendored Thing","Not Rated",""
"37570100","King Kong","Not Rated","Passed"
"37660100","Very Bad Things","R","for strong, grisly violence, sexuality, drug use and language."
"37690100","Brazil","R","NULL"
"37710100","Night Falls On Manhattan","R","for violence and language"
"37780100","Dudley Do-Right","PG","for mild comic action violence, and for brief language and innuendo"
"37800100","The Express","PG","for thematic content, violence and language involving racism, and for brief sensuality (re-rating, originally PG-13)."
"37830100","Immortal Beloved","R","for scenes of violence and sexuality"
"37840100","Rendition","R","for torture/violence and language"
"37850100","Everyone Says I Love You","R","for one use of strong language"
"37920100","S1m0ne","PG-13","for some sensuality"
"37930100","Shall We Dance?","PG","for mild language"
"37950100","Duplex","PG-13","for sexual content, language and some violence"
"37960100","Wrongfully Accused","PG-13","for sex-related humor and language"
"37970100","Belly","R","for strong violence, language, sexuality and drug use."
"37980100","Sorority Row","R","For strong bloody violence, language, some sexuality/nudity and partying"
"38000100","Digimon: The Movie","PG","for action violence."
"38060100","Breakfast at Tiffany's","Not Rated",""
"38070100","Death Sentence","R","for strong bloody brutal violence and pervasive language."
"38090100","Smart People","R","for language, brief teen drug and alcohol use, and for some sexuality"
"38170100","Away We Go","R","for language and some sexual content."
"38180100","Once","R","for language."
"38220100","The Visitor","PG-13","for brief strong language."
"38240100","Sleepover","PG","NULL"
"38250100","Whiteout","R","for violence, grisly images, brief strong language and some nudity"
"38270100","Black Snake Moan","R","for strong sexual content, language, some violence and drug use"
"38290100","Dragonball Evolution","PG","For intense sequences of action/violence and brief mild language"
"38300100","La Grande Seduction","Not Rated","NULL"
"38370100","Hable con ella","R","for nudity, sexual content and some language."
"38380100","Jerry Springer: Ringmaster","R","for strong sexual content and language"
"38390100","Fierce Creatures","PG-13","for sexual innuendo and language"
"38430100","Dark Blue","R","for violence, language and brief sexuality"
"38450100","Bon Voyage!","Not Rated","NULL"
"38460100","Mrs. Brown","PG","for a beating, language and brief nudity"
"38520100","You Can Count on Me","R","for language, some drug use and a scene sexuality"
"38530100","A Mighty Heart","R","for language"
"38560100","Dr. Strangelove","PG","2004 Rating - for thematic elements, some violent content, sexual humor and mild language."
"38570100","Becket","PG-13","for some sexual content and violence"
"38580100","Street Fighter: The Legend of Chun-Li","PG-13","for sequences of violence and martial arts action, and some sensuality."
"38630100","Superbabies: Baby Geniuses 2","PG","for action violence and some rude humor"
"38640100","Fantasia 2000 (Theatrical Release)","G","NULL"
"38670100","Le Divorce","PG-13","for mature thematic elements and sexual content"
"38690100","First Daughter","PG","for language, sexual situations and alcohol-related material"
"38700100","Ulee's Gold","R","NULL"
"38710100","The Boy in the Striped Pyjamas","PG-13","for some mature thematic material involving the Holocaust."
"38730100","Trippin’","R","for sexuality and language."
"38740100","The Ice Harvest","R","for violence, language and sexuality/nudity. "
"38750100","Transamerica","R","for sexual content, nudity, language and drug use."
"38870100","The Conqueror","Not Rated","Approved"
"38920100","Vera Cruz","Not Rated","Approved"
"39000100","Aliens of the Deep","G","NULL"
"39010100","Teaching Mrs. Tingle","PG-13","for thematic content, violence, sexuality, language and some teen drinking"
"39030100","In the Mouth of Madness","R","for images of horror, and for language"
"39070100","Mystery, Alaska","R","for language and sexuality"
"39090100","Saved!","PG-13","for strong thematic issues involving teens - sexual content, pregnancy, smoking and language"
"39150100","The Deep End","R","for some violence and language, and for a strong sex scene"
"39160100","The River","Not Rated","NULL"
"39170100","Jennifer's Body","R","For sexuality, bloody violence, language and brief drug use"
"39220100","The Seeker: The Dark is Rising","PG","for fantasy action and some scary images"
"39280100","To Catch a Thief","PG","for some action violence, mild suggestive material and smoking.\nRating is for 2013 Re-Issue for film from Paramount Pictures Corporation"
"39310100","Whatever it Takes","PG-13","for thematic elements, sexual material and language"
"39330100","Suspect Zero","R","for violent content, language and some nudity"
"39380100","My Life in Ruins","PG-13","for sexual content"
"39480100","Pollock","R","for language and brief sexuality"
"39490100","Boat Trip","R","for strong sexual content, language and some drug material"
"39500100","Death at a Funeral","R","for language and drug content"
"39560100","The Rich Man’s Wife","R","for strong violence and language"
"39570100","An Unfinished Life","PG-13","for some violence including domestic abuse, and language."
"39600100","Sharks 3D","Not Rated","NULL"
"39640100","Les invasions barbares","R","for language, sexual dialogue and drug content"
"39660100","John Carpenter’s Ghosts of Mars","R","for strong violence/gore, language and some drug content"
"39670100","Play it to the Bone","R","for brutal ring violence, strong sexuality including dialogue, nudity, pervasive language and some drug content"
"39690100","Pushing Tin","R","for language and a scene of sexuality"
"39700100","Sex Drive","R","for strong crude and sexual content, nudity, language, some drug and alcohol use - all involving teens."
"39710100","All About Eve","Not Rated","Passed"
"39770100","The Importance of Being Earnest","PG","for mild sensuality"
"39800100","Turbo: A Power Rangers Movie","PG","for non-stop fantasy action/violence"
"39820100","Death to Smoochy","R","for language and sexual references"
"39840100","Return to Paradise","R","for language, drug content, some sexuality and a scene of violence"
"39860100","Tenacious D in: The Pick of Destiny","R","for pervasive language, sexual content and drug use"
"39870100","Twin Dragons","PG-13","for some shootings, non-stop martial arts action/violence, and sensuality"
"39880100","The Man","PG-13","for language, rude dialogue and some violence"
"39890100","De père en flic","Not Rated","NULL"
"39900100","The Love Letter","PG-13","on appeal for some sensuality, nudity and strong language (previously rated R)"
"39940100","The Cooler","R","NULL"
"39960100","Shadow of the Vampire","R","for some sexuality, drug content, violence and language"
"39970100","Todo sobre mi madre","R","for sexuality including strong sexual dialogue, language and some drug content"
"40100100","A Simple Wish","PG","for mild language"
"40110100","Cadillac Records","R","for pervasive language and some sexuality."
"40120100","Code Name: The Cleaner","PG-13","for sexual content, crude humor and some violence"
"40130100","Delta Farce","PG-13","for crude and sexual humor"
"40150100","Key Largo","Not Rated",""
"40160100","Firestorm","R","for violence and language"
"40180100","Mad Hot Ballroom","PG","for some thematic elements"
"40190100","Hoot","PG","for mild bullying and brief language"
"40200100","Dirty Pretty Things","R","for sexual content, disturbing images and language"
"40250100","Bella","PG-13","for thematic elements and brief disturbing images."
"40270100","Woo","R","for sexual content and language"
"40280100","The Painted Veil","PG-13","for some mature sexual situations, partial nudity, disturbing images and brief drug content"
"40290100","Punisher: War Zone","R","for pervasive strong brutal violence, language and some drug use"
"40300100","Connie and Carla","PG-13","NULL"
"40500100","A Streetcar Named Desire","PG","rating is for 1970 Re-Issue of film from United Artists"
"40660100","My Giant","PG","for language, mild violence and brief crude humor"
"40710100","A Thousand Acres","R","for some strong sexual language."
"40730100","Miracle at St. Anna","R","for strong war violence, language and some sexual content/nudity."
"40760100","The Ice Storm","R","for sexuality and drug use, including scenes involving children, and for language"
"40790100","City of Ember","PG","for mild peril and some thematic elements."
"40830100","The Night Listener","R","for language and some disquieting sexual content"
"40870100","Slither","R","for strong horror violence and gore, and language."
"40880100","In Bruges","R","for strong bloody violence, pervasive language and some drug use."
"40980100","The Return","PG-13","for violence, terror and disturbing images."
"40990100","Being Julia","R","for some sexuality"
"41030100","Expelled: No Intelligence Allowed","PG","for thematic material, some disturbing images, brief smoking."
"41040100","Tupac Resurrection","R","for strong language and images of drugs, violence and sex"
"41060100","The Collector","R","for pervasive sadistic bloody violence, language and some sexuality/nudity"
"41120100","The Order","R","for violent images, sexuality and language"
"41150100","To Be and To Have","Not Rated","NULL"
"41200100","Doogal","G","NULL"
"41210100","Krippendorf's Tribe","PG-13","for sexual humor"
"41220100","Over Her Dead Body","PG-13","for sexual content and language."
"41240100","Cidade de Deus","R","for strong brutal violence, sexuality, drug content and language."
"41250100","El Cantante","R","for drug use, pervasive language and some sexuality."
"41270100","Sprung","R","for some strong sexuality and language"
"41280100","Proof","PG-13","for some sexual content, language and drug references."
"41310100","Nothing Like the Holidays","PG-13","for thematic elements including some sexual dialogue, and brief drug references"
"41320100","Martian Child","PG","for thematic elements and mild language."
"41400100","The Curse of the Jade Scorpion","PG-13","for some sexual content"
"41410100","The Man Who Wasn't There","R","for a scene of violence"
"41460100","A Good Year","PG-13","for language and some sexual content"
"41490100","Taking Woodstock","R","for graphic nudity, some sexual content, drug use and language"
"41570100","It Runs in the Family","PG-13","for drug content, sexual material and language"
"41580100","The Squid and the Whale","R","for strong sexual content, graphic dialogue and language. "
"41590100","The Condemned","R","for pervasive strong brutal violence, and for language"
"41610100","Wild America","PG","for language and some adventure peril"
"41620100","The Crucible","PG-13","for intense depiction of the Salem witch trials"
"41670100","Bones","R","for violence/gore, language, sexuality and drugs"
"41690100","Outside Providence","R","for pervasive teen drug use and strong language including sexual references"
"41730100","Les Triplettes de Belleville","PG-13","for images involving sensuality, violence and crude humor"
"41780100","She's So Lovely","R","for strong language and some violence"
"41790100","Lola rennt","R","for some violence and language."
"41810100","Big Trouble","PG-13","for language, crude humor and sex-related, material"
"41820100","B*A*P*S","PG-13","for brief strong language"
"41860100","I Know Who Killed Me","R","for grisly violence including torture and disturbing gory images, and for sexuality, nudity and language"
"41880100","All the King's Men","PG-13","for an intense sequence of violence, sexual content and partial nudity."
"41890100","Mulholland Drive","R","for violence, language and some strong sexuality."
"41940100","Encounter in the Third Dimension","Not Rated","NULL"
"41950100","Zeus and Roxanne","PG","for mild thematic elements"
"41990100","The Hoax","R","for language."
"42000100","El orfanato","R","for some disturbing content"
"42060100","Dear God","PG","for language and mild thematic elements"
"42080100","Where Eagles Dare","M/PG",""
"42100100","Before the Devil Knows You're Dead","R","for a scene of strong graphic sexuality, nudity, violence, drug use and language."
"42110100","How She Move","PG-13","for some drug content, suggestive material and language"
"42130100","Phat Girlz","PG-13","for sexual content and language, including some crude sexual references"
"42140100","Quills","R","for strong sexual content including dialogue, violence and language"
"42150100","Pride","PG","for thematic material, language including some racial epithets, and violence."
"42160100","BASEketball","R","for strong language and crude sex-related humor"
"42190100","Dolphins and Whales Tribes of the Ocean 3D","Not Rated","NULL"
"42200100","Turistas","R","for strong graphic violence and disturbing content, sexuality, nudity, drug use and language"
"42210100","Kissing Jessica Stein","R","NULL"
"42250100","Star Kid","PG","for fantasy combat violence and language"
"42270100","Crossover","PG-13","for sexual content and some language."
"42290100","Bug","R","for some strong violence, sexuality, nudity, language and drug use."
"42390100","Strangers on a Train","PG","for some violence and tension. "
"42430100","Marnie","PG","1984 Rating - Re-Issue from 1964"
"42450100","Eraserhead","Not Rated",""
"42500100","Buena Vista Social Club","G","NULL"
"42520100","Screwed","PG-13","for crude and sex-related humor, nudity, language, some violence and brief drug content"
"42620100","Sexy Beast","R","for pervasive language, strong violence and some sexuality"
"42650100","State and Main","R","for language and brief sexual images"
"42660100","Trapped","R","for violence, language and sexual content"
"42690100","Red Sonja","PG-13",""
"42700100","Willard","PG-13","for terror/violence, some sexual content and language"
"42710100","Redline","PG-13","for violence, illegal and reckless behavior, sexual content, language and drug references."
"42730100","Woman Thou Art Loosed","R","for violence, sexual content and drug use."
"42740100","Running Scared","R","for pervasive strong brutal violence and language, sexuality and drug content."
"42780100","Moonlight Mile","PG-13","for some sensuality and brief strong language"
"42850100","In the Valley of Elah","R","for violent and disturbing content, language and some sexuality/nudity"
"42860100","Running With Scissors","R","for strong language and elements of sexuality, violence and substance abuse."
"42870100","Thunderbirds","PG","for intense action sequences and language"
"42880100","Ladies in Lavender","PG-13","for brief strong language"
"42890100","The Forsaken","R","for strong violence/gore, language and sexuality"
"42900100","Caught Up","R","for strong sexuality, violence and language."
"42910100","Young Black Stallion","G","NULL"
"42920100","Seraphin un Homme et Son","Not Rated","NULL"
"42980100","Smoke Signals","PG-13","for some intense images"
"42990100","Town & Country","R","for sexuality and language"
"43050100","U-Turn","R","for strong violence, sexuality and language"
"43060100","Le Placard","R","for a scene of sexuality"
"43150100","The Savages","R","for some sexuality and language."
"43190100","Bride & Prejudice","PG-13","for some sexual references."
"43210100","It’s a Wonderful Life","PG","for thematic elements, smoking and some violence.\nRating is for 2012 Re-Issue of film from Paramount Pictures Corporation"
"43230100","Femme Fatale","R","for strong sexuality, violence and language"
"43240100","Millions","PG-13","for thematic elements, language, some peril and mild sensuality."
"43260100","Strange Wilderness","R","for non-stop language, drug use, crude and sexual humor."
"43270100","Man cheng jin dai huang jin jia","R","for violence"
"43290100","Lost and Found","PG-13","for crude and sex-related humor, brief nudity and language"
"43300100","I Dreamed of Africa","PG-13","for a scene of nudity/sensuality and some violent/traumatic episodes"
"43310100","Maria Full of Grace","R","NULL"
"43320100","The Rules of Attraction","R","for strong sexual content, drug use, language and violent images"
"43330100","Switchback","R","for strong violence and several views of nude pin-ups"
"43370100","Teacher's Pet: The Movie","PG","NULL"
"43420100","The Big Bounce","PG-13","for sexual content and nudity, violence and language"
"43440100","Gods and Monsters","R","for sexual material and language"
"43460100","Warriors of Virtue","PG","for fantasy action violence and some language"
